tempo,quantidadePAs,betweenness,degree,closeness,eigenvector,lifespan,mobility,fragmentationImpact,kConnectivity,density,number_of_cars
157,7,0.0184,4.4286,0.1104,0.0148,20.8571,21.4749,36.0000,1.8571,0.0088,15.2857
158,6,0.0193,4.3333,0.1009,0.0116,24.3333,10.4265,37.0000,2.0000,0.0096,18.1667
159,11,0.0158,3.9091,0.0903,0.0108,16.7273,53.7627,35.0000,1.8182,0.0052,9.9091
160,11,0.0160,3.4545,0.0955,0.0046,18.0000,81.4787,36.0909,1.4545,0.0051,10.0000
161,10,0.0140,3.9000,0.0956,0.0040,19.0000,50.4486,38.0000,1.5000,0.0056,10.9000
162,16,0.0139,4.0000,0.0836,0.0150,17.1875,71.6896,37.0625,1.7500,0.0034,6.9375
163,16,0.0204,3.5000,0.0829,0.0088,13.1875,48.9688,38.0625,2.0625,0.0034,7.0000
164,12,0.0139,2.9167,0.0672,0.0033,11.1667,47.3573,39.0833,1.8333,0.0047,9.2500
165,9,0.0041,3.0000,0.0402,0.0016,8.3333,100.0044,40.1111,1.4444,0.0063,12.4444
166,10,0.0096,4.5000,0.0795,0.0150,10.8000,50.0069,39.0000,1.5000,0.0056,11.5000
167,8,0.0088,3.8750,0.0732,0.0155,8.5000,36.5436,39.0000,1.7500,0.0070,14.5000
168,5,0.0022,3.2000,0.0502,0.0034,11.6000,18.7371,41.0000,1.6000,0.0112,23.2000
169,7,0.0113,3.5714,0.0596,0.0052,15.2857,30.7712,40.0000,2.7143,0.0080,16.5714
170,9,0.0076,3.5556,0.0532,0.0031,16.1111,54.9971,39.0000,2.1111,0.0063,12.8889
171,14,0.0093,3.0000,0.0496,0.0011,12.7857,36.3172,34.0714,1.5714,0.0040,8.2857
172,13,0.0114,2.9231,0.0575,0.0018,12.8462,24.5700,37.0000,1.7692,0.0042,9.0000
173,13,0.0128,3.1538,0.0590,0.0017,13.4615,93.6656,36.0000,2.0000,0.0044,8.9231
174,7,0.0090,3.0000,0.0607,0.0003,14.2857,31.7913,37.0000,1.8571,0.0083,16.4286
175,8,0.0062,2.7500,0.0505,0.0003,14.8750,28.1860,38.1250,1.8750,0.0073,14.3750
176,15,0.0069,2.9333,0.0618,0.0067,14.2667,25.3614,35.0667,1.6667,0.0040,7.6000
177,14,0.0092,2.7143,0.0652,0.0017,16.0000,19.3569,35.0714,1.7857,0.0042,8.1429
178,15,0.0131,3.7333,0.0820,0.0091,16.6667,39.0210,32.0667,2.0667,0.0039,7.6667
179,11,0.0043,3.4545,0.0533,0.0090,17.2727,22.5041,33.1818,1.5455,0.0052,10.5455
180,14,0.0059,3.9286,0.0614,0.0123,13.5000,55.7210,33.0714,1.6429,0.0041,8.2857
181,11,0.0053,2.9091,0.0499,0.0017,9.8182,43.6901,34.0909,1.3636,0.0051,10.7273
182,11,0.0065,3.4545,0.0590,0.0074,9.7273,45.9067,37.0000,1.3636,0.0052,10.8182
183,9,0.0044,4.3333,0.0496,0.0128,12.2222,73.0706,41.0000,1.5556,0.0063,13.3333
184,10,0.0072,4.6000,0.0582,0.0144,10.1000,13.5762,40.0000,1.9000,0.0056,12.2000
185,9,0.0004,2.7778,0.0239,0.0000,9.1111,56.6891,46.0000,1.1111,0.0065,13.5556
186,9,0.0003,2.4444,0.0209,0.0000,13.1111,19.3974,43.0000,1.0000,0.0067,13.6667
